gae_lambda,distance_rew_weight,final_mean_return
0.9333333333333333,8.181818181818182,"[259.9453125, 225.7421875, 257.5, 242.203125, 208.6484375, 212.765625, 237.2734375, 251.3984375, 243.8671875, 208.2890625]"
0.9414141414141415,8.787878787878787,"[247.1640625, 221.859375, 255.09375, 254.578125, 263.9453125, 285.6015625, 602.890625, 297.8046875, 236.59375, 212.6328125]"
0.9656565656565657,1.0101010101010102,"[298.0390625, 271.40625, 263.171875, 258.7109375, 317.90625, 453.671875, 230.34375, 246.9609375, 257.0546875, 360.3046875]"
0.8808080808080808,0.20202020202020202,"[1000.0, 990.21875, 478.8671875, 456.09375, 390.3203125, 557.984375, 504.6953125, 443.84375, 522.890625, 746.625]"
0.8545454545454546,6.666666666666667,"[214.390625, 224.2421875, 220.9375, 215.8125, 322.7890625, 258.2421875, 211.2890625, 244.8984375, 245.34375, 208.890625]"
0.8666666666666667,1.4141414141414141,"[431.609375, 374.078125, 446.5078125, 325.4375, 369.109375, 432.2109375, 326.28125, 503.46875, 454.421875, 426.9296875]"
0.8343434343434344,6.96969696969697,"[236.6796875, 222.1875, 225.8125, 715.65625, 239.6953125, 273.171875, 228.2109375, 226.7734375, 252.0234375, 207.0]"
0.9575757575757575,9.292929292929292,"[473.953125, 255.59375, 231.171875, 241.8515625, 319.1484375, 279.0625, 347.5078125, 272.0078125, 333.46875, 223.4296875]"
0.9676767676767677,1.9191919191919191,"[229.9765625, 261.7890625, 243.5390625, 240.953125, 260.0859375, 239.578125, 260.8515625, 251.203125, 245.96875, 253.953125]"
0.9757575757575758,9.8989898989899,"[575.9453125, 256.296875, 281.09375, 222.765625, 421.6171875, 278.4453125, 221.2109375, 261.140625, 706.9921875, 288.3671875]"
0.901010101010101,4.94949494949495,"[222.5546875, 222.7890625, 254.84375, 233.578125, 241.0390625, 228.3828125, 210.609375, 202.2421875, 242.0625, 209.8671875]"
